ID	MS	Mp	VFN	Mh	Man	MMS	TAN	T	Va	Ve	Mk	Cn	Ct	Cr	m (kg)	ID	Mt	Enedc (g/km)	Ewltp (g/km)	W (mm)	At1 (mm)	At2 (mm)	Ft	Fm	ec (cm3)	ep (KW)	z (Wh/km)	It	Ernedc (g/km)	Erwltp (g/km)	De	Vf	r
12588418	HR	VW GROUP PC	IP-08-TMB-2018-0095	SKODA	SKODA AUTO AS	SKODA AUTO a.s. tr. Vaclava Klementa 869 Mlada Boleslav II 293 01 Mlada Boleslav  CZ	e8*2007/46*0318*03	5E	AADGTEX0	NFD7FD7CW0027CPSTVLN1C7A	SKODA	OCTAVIA	M1	M1	1363	12588418	1510	105	138	1524	2760	1533	Diesel	M	1598	85						0	1
9468696	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*14	AA	ABCHYA	FM5FM5CF0117MMVR0N1SSK61	SKODA	CITIGO	M1	M1	926	9468696		101		1424	2407	1428	PETROL	M	999	44							1
15160211	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0272*03	NU	ACDADAX0	NFM6FM62S0327618	ÂŠKODA	KAROQ	M1	M1	1378	15160211		123		1572	2624	1572	Petrol	M	1498	110		e8 19	1				1
10964759	ES	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e11*2007/46*0243*26	5E	AADLBAX0	RFM6FM62Q044V2MLN647	SKODA	OCTAVIA	M1	M1	1445	10964759		150		1556	2677	1547	Petrol	M	1984	180							1
266728	DK	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*00	5E	ACCZDAX0	NFD7FD7CW002V2VLN657	Skoda	OCTAVIA	M1	M1	1291	266728		117		1524	2667	1533	Petrol	M	1395	110							1
9469099	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*14	AA	ABCHYA	FM5FM5CF0117MMVR0N1SSK61	SKODA	CITIGO	M1	M1	926	9469099		101		1424	2407	1428	PETROL	M	999	44							1
14912044	HU	VW GROUP PC		SKODA	SKODA AUTO AS	Skoda	e11*2007/46*0243*25	5E	ACDDYAX0	NFD7FD7CW002S1VLN617	Skoda	OCTAVIA	M1	M1	1342	14912044		103		1524	2667	1533	Diesel	M	1598	85							1
2670293	AT	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S. TR.	e8*2007/46*0318*00	5E	ACDCYAX1	NAD7AD7GC002STMLN657	SKODA	OCTAVIA	M1	M1	1490	2670293		128		1532	2677	1533	Diesel	M	1968	110							1
9468658	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*14	AA	ABCHYA	FM5FM5CF0117MMVR0N1SSK61	SKODA	CITIGO	M1	M1	926	9468658		101		1424	2407	1428	PETROL	M	999	44							1
15140180	CZ	VW GROUP PC	IP-08-TMP-2018-2043	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0319*02	5J	ACDKRCX01	NFM6FM6DQ0027CPM1C8B	ÂŠKODA	FABIA	M1	M1	1152	15140180	1288	107	129	1441	2455	1441	Petrol	M	999	81		e8 19	1			0	1
